naics_description,license_count,share_of_total
"Mushroom Production",1,0.01
"Photographic Equipment and Supplies Merchant Wholesalers",1,0.01
"Open-End Investment Funds",1,0.01
"Hardware Manufacturing",1,0.01
"Heating Equipment (except Warm Air Furnaces) Manufacturing",1,0.01
"Department Stores",1,0.01
"Machine Shops",1,0.01
"Motor Vehicle Parts (Used) Merchant Wholesalers",1,0.01
"Petroleum Bulk Stations and Terminals",1,0.01
"Packaging Machinery Manufacturing",1,0.01
"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",1,0.01
"Metal Window and Door Manufacturing",1,0.01
"Frozen Cakes, Pies, and Other Pastries Manufacturing",1,0.01
"Berry (except Strawberry) Farming",1,0.01
"Coastal and Great Lakes Freight Transportation",1,0.01
"Navigational Services to Shipping",1,0.01
"Natural Gas Distribution",1,0.01
"Aircraft Manufacturing",1,0.01
"Armored Car Services",1,0.01
"Prefabricated Metal Building and Component Manufacturing",1,0.01
"Recreational and Vacation Camps (except Campgrounds)",1,0.01
"Footwear Merchant Wholesalers",1,0.01
"Administration of Public Health Programs",1,0.01
"Packaging and Labeling Services",1,0.01
"Administration of Air and Water Resource and Solid Waste Management Programs",1,0.01
"Title Abstract and Settlement Offices",1,0.01
"Cookie and Cracker Manufacturing",1,0.01
"Cut Stone and Stone Product Manufacturing",1,0.01
"Battery Manufacturing",1,0.01
"Machine Tool Manufacturing",1,0.01
"Crushed and Broken Limestone Mining and Quarrying",1,0.01
"Wood Kitchen Cabinet and Countertop Manufacturing",1,0.01
"Gypsum Product Manufacturing",1,0.01
"Dried and Dehydrated Food Manufacturing",1,0.01
"Paint and Coating Manufacturing",1,0.01
"Direct Health and Medical Insurance Carriers",1,0.01
